COMM_NAME,Avg_Index,Volatility_Percent,Price_Range,Growth_Percent,Data_Points,Year_Range
) Non-coking Coal G1 To G6 [gcv Exceeding 5500 Kcal/kg.],93.94,7.51,18.2,-10.06,160,2012-2025
) Non-coking Coal G15 To G17 [gcv < 3100 Kcal/kg.],120.87,5.98,28.5,22.55,160,2012-2025
) Non-coking Coal G7 To G14 [gcv 3100 Kcal/kg. To 5500 Kcal/kg.],127.83,10.85,46.0,41.67,160,2012-2025
2/3 Wheeler Rubber Tube,121.52,9.51,40.8,37.39,160,2012-2025
2/3 Wheeler Tyre,106.08,7.3,27.8,16.83,160,2012-2025
A C Motor,122.1,11.55,42.9,36.18,160,2012-2025
API & Formulations Of Vitamins,130.19,11.37,52.8,43.3,160,2012-2025
ATF,109.98,34.08,195.5,21.98,160,2012-2025
Acetic Acid And Its Derivatives,119.58,22.03,123.4,10.3,160,2012-2025
Acrylic Fibre,108.98,7.42,31.0,19.71,160,2012-2025
Acrylic/plastic Sheet,117.77,9.35,46.1,21.14,160,2012-2025
Acsr Conductors,118.78,9.82,45.5,39.76,160,2012-2025
Additive,129.79,20.47,76.2,52.77,160,2012-2025
Adhesive Excluding Gum,110.91,7.58,33.7,14.4,160,2012-2025
Adhesive Tape (non-medicinal),119.08,10.78,45.8,36.93,160,2012-2025
Aerated Drinks/soft Drinks (incl. Soft Drink Concentrates),123.25,6.23,31.9,21.59,160,2012-2025
Agarbatti,116.14,5.34,24.7,22.57,160,2012-2025
Agricultural Tractors,119.49,9.93,38.5,35.95,160,2012-2025
Agriculture Implements,125.28,15.0,59.0,51.72,160,2012-2025
Agro Chemical Formulation,146.07,14.38,75.5,60.63,160,2012-2025
Air Conditioner,114.58,5.51,24.5,18.08,160,2012-2025
Air Conditioning Plant,108.58,10.41,44.3,32.28,160,2012-2025
Air Coolers,119.1,7.71,37.1,29.62,160,2012-2025
Air Filters,137.72,7.63,52.4,32.39,160,2012-2025
Air Gas Compressor Including Compressor For Refrigerator,116.43,10.03,44.8,35.87,160,2012-2025
Air Or Vacuum Pump,111.35,8.2,26.3,23.5,160,2012-2025
Alcohols,130.39,16.47,78.0,57.36,160,2012-2025
Alkyl Benzene,105.0,16.33,76.5,15.73,160,2012-2025
Alloy Steel Castings,128.08,14.19,65.1,40.74,160,2012-2025
Alloy Steel Other Than Stainless Steel- Shapes,112.58,17.52,77.2,24.33,160,2012-2025
Alloy Steel Wire Rods,112.58,17.52,77.2,24.33,160,2012-2025
Almonds,185.61,24.04,162.5,151.14,160,2012-2025
Aluminium Alloys,125.95,19.01,73.2,65.13,160,2012-2025
Aluminium Castings,117.5,10.65,40.9,32.63,160,2012-2025
Aluminium Disk And Circles,111.53,12.65,52.0,40.26,160,2012-2025
Aluminium Ingot,127.39,19.41,78.8,67.83,160,2012-2025
Aluminium Metal,120.05,13.47,56.9,44.97,160,2012-2025
Aluminium Powder,132.14,22.16,91.3,83.32,160,2012-2025
Aluminium Shapes - Bars/rods/flats,125.83,17.43,73.5,63.77,160,2012-2025
Aluminium Utensils,121.19,9.86,45.6,39.87,160,2012-2025
Aluminium Wire,129.4,18.06,78.1,70.88,160,2012-2025
Aluminium/alloy Conductor,130.52,17.99,79.9,74.1,160,2012-2025
Alumnium Foil,124.1,15.13,62.6,53.68,160,2012-2025
Amine,134.52,14.89,88.7,15.42,160,2012-2025
Amla,186.32,31.27,258.5,134.16,160,2012-2025
Ammonia Gas,123.9,33.52,160.7,43.06,160,2012-2025
Ammonia Liquid,147.17,30.9,180.4,55.52,160,2012-2025
Ammonium Nitrate,132.08,25.19,140.3,49.87,160,2012-2025
Ammonium Phosphate,143.46,9.85,53.2,29.69,160,2012-2025
Ammonium Sulphate,117.32,11.51,64.9,4.34,160,2012-2025
Amplifier,122.49,11.56,56.2,48.33,160,2012-2025
"Angles, Channels, Sections, Steel (coated/not)",116.27,21.11,106.5,23.75,160,2012-2025
"Aniline (including Pna, Ona, Ocpna)",148.12,23.53,102.7,58.14,160,2012-2025
Anti Allergic Drugs,116.72,4.03,28.4,9.06,160,2012-2025
Anti Cancer Drugs,81.68,18.3,68.0,-35.62,160,2012-2025
Anti Inflammatory Preparation,135.43,20.95,98.1,82.21,160,2012-2025
Anti-malarial Drugs,105.23,8.53,36.0,1.05,160,2012-2025
Anti-retroviral Drugs For HIV Treatment,103.43,5.25,22.6,7.9,160,2012-2025
Antibiotics & Preparations Thereof,122.58,11.27,44.7,36.89,160,2012-2025
Antidiabetic Drug Excluding Insulin (i.e. Tolbutam),122.35,14.15,72.9,35.12,160,2012-2025
Antioxidants,135.93,19.24,94.3,69.71,160,2012-2025
"Antipyretic, Analgesic, Anti-inflammatory Formulations",140.49,29.42,148.3,58.34,160,2012-2025
Antiseptics And Disinfectants,112.42,9.68,39.2,32.66,160,2012-2025
Apple,118.33,20.55,104.8,57.73,160,2012-2025
Arhar,168.49,31.42,209.7,105.21,160,2012-2025
Aromatic Chemicals,116.86,10.16,46.6,26.36,160,2012-2025
Asbestos Corrugated Sheet,120.51,6.78,25.9,17.26,160,2012-2025
Athletic/sport Shoes,110.07,4.39,21.6,6.49,160,2012-2025
Auto Rickshaw/tempo/matador/three Wheelers,136.15,14.64,60.8,55.01,160,2012-2025
Auxiliary Plant For Use With Boilers,100.92,2.18,19.7,1.69,160,2012-2025
Axles Of Motor Vehicles,119.96,12.36,46.4,34.92,160,2012-2025
Ayurvedic Medicaments,143.5,14.25,73.9,63.56,160,2012-2025
"Babies Garments, Knitted",134.32,15.82,74.3,66.94,160,2012-2025
Bagasse,138.12,8.33,52.0,35.01,160,2012-2025
Bajra,169.47,25.19,153.4,114.19,160,2012-2025
Banana,146.02,13.06,88.5,61.43,160,2012-2025
Barley,161.37,23.1,134.4,97.64,160,2012-2025
Base Paper,127.31,11.8,59.4,38.93,160,2012-2025
Basmati Rice,118.02,13.99,61.1,40.04,160,2012-2025
Batteries,121.7,8.41,43.3,37.89,160,2012-2025
Bauxite,201.94,22.05,160.1,125.9,160,2012-2025
Beans,149.43,27.02,194.1,70.82,160,2012-2025
Bed Linen/bed Spread,130.33,15.01,61.0,54.41,160,2012-2025
Beef And Buffalo Meat,144.15,16.14,77.5,72.18,160,2012-2025
Beer,122.8,9.34,40.0,36.09,160,2012-2025
Betel Leaves,109.02,34.12,149.2,153.86,160,2012-2025
Betelnut/arecanut,195.82,28.38,189.2,146.67,160,2012-2025
Bicycles Of All Types,124.98,8.88,36.1,28.96,160,2012-2025
Biri,173.8,21.94,118.8,103.98,160,2012-2025
"Biscuit, Cookies",130.48,12.67,62.2,55.33,160,2012-2025
Bitter Gourd,164.22,30.07,212.6,108.72,160,2012-2025
Bitumen,99.05,23.65,85.9,35.54,160,2012-2025
Black Pepper,161.45,18.44,109.6,71.35,160,2012-2025
Blankets,92.01,5.69,23.2,-12.47,160,2012-2025
Body (for Commercial Motor Vehicles),113.38,8.98,32.4,18.09,160,2012-2025
Boilers,106.24,6.03,29.9,4.44,160,2012-2025
"Bolts, Screws, Nuts & Nails Of Iron & Steel",117.07,16.71,63.1,45.32,160,2012-2025
Bottle Gourd,150.99,23.72,192.7,55.17,160,2012-2025
Bottled Mineral Water,121.43,5.94,30.0,23.37,160,2012-2025
Bracket,109.77,6.51,27.5,-3.83,160,2012-2025
"Brake Pad/brake Liner/brake Block/brake Rubber, Others",116.23,12.27,52.4,38.01,160,2012-2025
Brass Metal/sheet/coils,126.93,21.28,81.0,70.23,160,2012-2025
"Bread, Buns & Croissant",161.37,21.36,117.2,101.89,160,2012-2025
Brinjal,170.7,31.52,247.6,99.0,160,2012-2025
Bristle Paper Board,122.35,10.34,41.4,38.13,160,2012-2025
"Buffalo Meat, Fresh/frozen",134.67,7.67,58.0,39.12,160,2012-2025
Building Of Ships And Floating Structures,156.42,11.51,90.9,89.78,160,2012-2025
Butter,144.25,16.86,86.8,82.07,160,2012-2025
Cabbage,161.71,39.18,367.8,-18.88,160,2012-2025
"Cakes, Pastries & Muffins",145.52,17.41,91.4,79.03,160,2012-2025
Camphor,150.76,36.85,184.2,63.47,160,2012-2025
Canvas Shoes,130.27,10.5,53.2,43.32,160,2012-2025
Capacitors,110.97,8.98,35.7,26.69,160,2012-2025
Carbon Black,114.19,27.7,129.9,33.29,160,2012-2025
Card Board,120.07,15.19,86.2,34.06,160,2012-2025
Card Board Box,125.99,10.27,53.6,26.52,160,2012-2025
Cardamom,150.99,36.65,243.5,180.91,160,2012-2025
"Cardigans And Pullovers, Knitted",116.3,5.58,31.0,15.73,160,2012-2025
Carrom Board,148.2,20.12,101.9,92.94,160,2012-2025
Carrot,156.57,28.36,221.5,6.99,160,2012-2025
Cashew Nut,148.45,16.24,93.2,71.02,160,2012-2025
"Cast Iron, Castings",117.81,11.08,37.5,31.93,160,2012-2025
Castings,114.68,13.7,53.7,35.96,160,2012-2025
Castor Oil,119.55,20.77,83.2,68.77,160,2012-2025
Castor Seed,104.96,16.42,63.1,40.45,160,2012-2025
Catalysts,141.37,17.13,114.9,45.38,160,2012-2025
Cauliflower,159.4,37.39,282.2,29.44,105,2012-2025
Caustic Soda (sodium Hydroxide),142.43,21.67,134.7,40.48,160,2012-2025
Cement Blocks (concrete),122.43,14.2,59.6,54.52,160,2012-2025
Cement Superfine,117.41,8.78,41.5,27.69,160,2012-2025
Centrifugal Pumps,117.73,11.22,43.8,35.67,160,2012-2025
Ceramic Tiles (vitrified Tiles),117.36,5.13,26.5,17.21,160,2012-2025
Chain,117.91,13.54,47.6,39.73,160,2012-2025
Chassis Of Different Vehicle Types,117.97,11.32,38.1,31.78,160,2012-2025
Chemical Equipment & System,130.77,11.37,63.2,31.59,160,2012-2025
"Chicken/duck, Dressed - Fresh/frozen",139.65,12.06,72.7,46.62,160,2012-2025
Chillers,116.06,6.64,43.8,11.24,160,2012-2025
Chillies (Dry),146.57,31.44,178.3,91.54,160,2012-2025
Chocolate & Cocoa Powder,132.66,16.69,111.9,97.67,160,2012-2025
Chrome Tanned Leather,112.46,8.2,38.2,-2.36,160,2012-2025
Chromite,91.03,24.32,96.1,14.23,160,2012-2025
Cigarette,158.06,15.15,81.5,71.21,160,2012-2025
Clinker,121.36,11.25,49.9,15.49,160,2012-2025
Clock,148.88,30.07,159.9,141.17,160,2012-2025
Clutches And Shaft Couplings,114.69,7.93,26.2,22.77,160,2012-2025
Coal,120.21,10.24,37.2,33.52,160,2012-2025
Coconut (Fresh),205.7,30.63,324.5,282.12,160,2012-2025
Coffee,122.81,37.64,224.6,188.89,160,2012-2025
Coffee Powder With Chicory,153.81,23.99,136.0,118.06,160,2012-2025
Coir Fibre,119.88,5.73,37.3,22.39,160,2012-2025
Coking Coal,126.06,15.13,46.4,44.9,160,2012-2025
"Cold Rolled (CR) Coils & Sheets, Including Narrow Strip",115.24,19.03,90.5,24.5,160,2012-2025
Colour TV,94.6,4.0,17.8,-8.34,160,2012-2025
Computer Peripherals,94.12,3.11,18.0,-7.14,160,2012-2025
Concrete Vibrator & Mixture,107.96,6.92,22.8,20.86,160,2012-2025
Condensed Milk,143.28,10.08,60.5,50.07,160,2012-2025
Condiments & Spices,151.53,29.06,172.8,142.64,160,2012-2025
Condoms,112.72,6.09,26.2,16.37,160,2012-2025
Connector/plug/socket/holder-electric,121.5,9.62,40.3,28.61,160,2012-2025
Conveyer Belt (fibre Based),103.0,9.7,36.6,10.98,160,2012-2025
Conveyors - Non-roller Type,90.28,7.01,29.4,-6.96,160,2012-2025
Cooling Tower,131.3,19.01,74.6,66.77,160,2012-2025
"Copper Bolts, Screws, Nuts",114.49,8.17,29.9,25.61,160,2012-2025
Copper Concentrate,172.66,37.57,225.6,140.5,160,2012-2025
Copper Metal/copper Rings,111.87,17.12,78.7,58.5,160,2012-2025
Copper Shapes - Bars/rods/plates/strips,112.1,15.92,63.5,38.56,160,2012-2025
Copper Wire,124.12,24.23,95.5,70.31,160,2012-2025
Copra (Coconut),164.74,30.14,302.1,243.76,160,2012-2025
Copra Oil,157.26,22.08,207.4,160.87,160,2012-2025
Cordage/ropes/twines Of Jute And Coir,143.96,11.81,75.0,43.72,160,2012-2025
Coriander,173.26,25.02,197.6,113.62,160,2012-2025
Corn Flake,152.97,18.17,100.9,85.28,160,2012-2025
Corrugated Paper Board,129.27,15.93,74.0,68.3,160,2012-2025
Corrugated Sheet Box,119.2,11.62,47.5,32.07,160,2012-2025
"Cotton Cloth (dyed, Printed, Or Otherwise Finished/processed)",127.41,14.56,60.9,51.47,160,2012-2025
Cotton Dyed/printed Textile,126.51,12.26,54.6,45.63,160,2012-2025
Cotton Hosiery Cloth,119.67,7.17,45.1,17.79,160,2012-2025
Cotton Seed,150.3,16.82,92.8,69.25,160,2012-2025
Cotton Seed Oil,122.0,22.11,104.2,47.77,160,2012-2025
Cotton Seed Oil Cake,162.01,17.73,108.7,67.15,160,2012-2025
Cotton Towel,139.97,15.62,77.6,66.51,160,2012-2025
Cotton Wool (medicinal),123.65,13.75,55.1,53.06,160,2012-2025
Cotton Woven Cloth,117.94,8.73,45.1,28.37,160,2012-2025
Cotton Yarn,120.59,11.52,65.0,26.5,160,2012-2025
Country Liquor,118.71,11.68,43.1,38.89,160,2012-2025
Cranes,114.18,15.72,51.2,38.92,160,2012-2025
Crankshaft,101.57,6.68,28.1,12.42,160,2012-2025
Creams & Lotions For External Application,100.68,7.63,32.3,12.04,160,2012-2025
Cricket Ball,170.27,20.45,117.1,103.03,160,2012-2025
Cricket Bat,144.38,21.15,114.3,99.09,160,2012-2025
Crude Petroleum,96.23,31.88,139.6,11.01,160,2012-2025
Crude Petroleum & Natural GAS,106.68,30.12,126.5,31.04,160,2012-2025
Cucumber,145.73,21.08,143.6,67.14,160,2012-2025
Cumin,142.04,47.57,335.0,75.62,160,2012-2025
Curtains,139.07,12.99,69.8,51.7,160,2012-2025
"Cutting, Shaping And Finishing Of Stone",119.28,7.33,37.4,31.74,160,2012-2025
Cycle/cycle Rickshaw Tyre,110.56,4.97,21.4,15.95,160,2012-2025
Cylinder Liners,108.86,3.57,18.3,6.08,160,2012-2025
Cylinders,127.94,17.48,73.4,47.21,160,2012-2025
Deep Freezers,100.26,4.96,23.0,5.87,160,2012-2025
"Detergent Cake, Washing Soap Cake/bar/powder",127.77,12.36,50.3,37.31,160,2012-2025
Di Ammonium Phosphate,140.54,8.32,52.4,16.31,160,2012-2025
Diesel/electric Locomotive,127.61,9.44,56.6,26.55,160,2012-2025
Digestive Enzymes And Antacids,120.8,11.34,46.6,43.43,160,2012-2025
Domestic Gas Stove,120.3,6.72,34.5,24.18,160,2012-2025
Drilling Machine,121.16,10.68,43.5,37.03,160,2012-2025
Drumstick,197.24,59.89,639.3,137.46,160,2012-2025
Dry Cells Such As Torch Light Batteries,121.64,10.84,51.2,49.57,160,2012-2025
Dumper,98.65,8.36,26.2,-1.77,160,2012-2025
Duplex Paper,113.05,12.58,72.1,15.22,160,2012-2025
Dye Stuff/dyes Incl. Dye Intermediates And Pigments/colours,127.79,9.45,49.2,28.91,160,2012-2025
EMU Coaches,109.87,3.81,22.9,15.17,160,2012-2025
Earth Moving Machinery,60.1,27.39,57.7,-38.58,160,2012-2025
Egg,145.27,16.98,104.1,59.5,160,2012-2025
"Eggs,meat & Fish",145.8,13.36,74.2,56.18,160,2012-2025
Elastic Webbing,106.42,6.15,26.3,10.34,160,2012-2025
Electric & Other Meters,101.56,7.0,27.5,17.58,160,2012-2025
Electric Accumulators,125.42,8.83,37.1,23.95,160,2012-2025
Electric Filament Type Lamps,111.79,3.45,17.0,12.36,160,2012-2025
Electric Heaters,144.2,8.67,70.9,20.94,160,2012-2025
Electric Insulating Material,108.45,3.64,19.9,11.31,160,2012-2025
Electric Mixers/grinders/food Processors,98.28,8.8,27.6,11.03,160,2012-2025
Electric Switch,108.38,6.11,26.5,23.78,160,2012-2025
Electric Switch Gear Control/starter,113.71,8.4,35.2,32.98,160,2012-2025
Electric Welding Machine,99.96,5.57,19.3,7.55,160,2012-2025
Electric Wires & Cables,123.15,15.73,62.4,41.69,160,2012-2025
Electrical Ballast & Chokes,91.56,4.38,14.0,-13.71,160,2012-2025
Electrical Relay/conductor,118.53,14.04,52.2,41.56,160,2012-2025
Electrical Resistors (except Heating Resistors),145.84,20.66,89.0,74.19,160,2012-2025
Electrical Stamping- Laminated Or Otherwise,110.75,25.03,88.0,55.07,160,2012-2025
Electricity,116.22,15.17,61.0,44.47,160,2012-2025
"Electro-diagnostic Apparatus, Used In Medical, Surgical, Dental Or Veterinary Sciences",103.67,3.59,21.5,7.87,160,2012-2025
Electronic Printed Circuit Board (pcb)/micro Circuit,128.47,7.94,35.2,28.55,160,2012-2025
Engine,113.06,7.06,28.0,19.46,160,2012-2025
"Epoxy, Liquid",111.07,7.53,36.1,13.44,160,2012-2025
Ethyl Acetate,113.78,12.51,52.7,17.74,160,2012-2025
Ethylene Oxide,113.26,10.4,48.9,20.4,160,2012-2025
Evaporator,120.58,10.29,51.0,45.39,160,2012-2025
Excavator,116.89,6.43,27.4,16.38,160,2012-2025
Explosive,136.85,19.49,87.9,68.29,160,2012-2025
"Fabric, Polyethylene",119.51,4.81,28.2,11.42,160,2012-2025
"Fabrics/cloth, Rayon",118.37,11.92,53.5,42.01,160,2012-2025
Face/body Powder,161.14,15.47,91.2,77.29,160,2012-2025
Fan,122.49,14.86,53.1,50.23,160,2012-2025
Fatty Acid,114.37,19.38,91.7,43.97,160,2012-2025
Ferrochrome,133.21,23.27,101.8,64.26,160,2012-2025
Ferromanganese,120.82,13.31,80.5,21.66,160,2012-2025
Ferrosilicon,110.05,15.4,72.6,15.05,160,2012-2025
Fibre Glass Incl. Sheet,126.64,10.36,49.0,35.8,160,2012-2025
Fibre Optic Cables,116.21,7.55,36.3,4.59,160,2012-2025
Fibres,132.85,23.74,142.3,65.61,160,2012-2025
Filter Element,103.38,5.2,19.5,8.51,160,2012-2025
Filtration Equipment,123.28,10.37,47.8,38.21,160,2012-2025
Fish Frozen/canned/processed,136.17,12.11,65.5,45.38,160,2012-2025
Fish-inland,147.42,10.85,72.6,51.06,160,2012-2025
Fish-marine,143.85,17.25,93.7,57.0,160,2012-2025
"Fishing Vessels, Trawlers",158.18,11.68,93.2,92.21,160,2012-2025
Floriculture,190.53,34.23,253.0,144.94,160,2012-2025
Flourescent Tube,107.72,5.86,21.4,15.79,160,2012-2025
Foam And Rubber Mattress,171.98,26.81,157.0,136.88,160,2012-2025
Fodder,167.9,21.13,146.3,89.51,160,2012-2025
Football,131.84,14.19,72.4,59.37,160,2012-2025
Forged Steel Rings,106.1,11.13,40.6,20.98,160,2012-2025
"Forging, Pressing, Stamping And Roll-forming Of Metal; Powder Metallurgy",108.27,17.14,59.3,36.85,160,2012-2025
Forgings Of Steel,136.69,19.71,84.1,67.9,160,2012-2025
Foundry Chemical,106.38,10.69,48.7,18.79,160,2012-2025
Fruit Juice Including Concentrates,110.08,4.38,25.4,16.0,160,2012-2025
Fruit Pulp,115.87,7.19,33.9,26.59,160,2012-2025
Fruits,151.41,19.69,133.5,103.92,160,2012-2025
Fruits & Vegetables,168.54,23.65,181.8,79.32,160,2012-2025
"Fungicide, Liquid",194.6,42.48,248.5,218.44,160,2012-2025
Furnace Oil,96.16,30.59,131.9,23.27,160,2012-2025
Furnaces & Ovens,86.5,14.82,51.4,-23.86,160,2012-2025
Galvanized Iron Pipes,114.67,9.98,46.0,13.8,160,2012-2025
Garlic,120.56,74.73,476.1,416.12,160,2012-2025
Garnet,241.55,42.71,351.0,274.95,160,2012-2025
